price_aprox_usd,surface_covered_in_m2,lat,lon,neighborhood
98000,35,-34.5541654,-58.4655168,Nuñez
109500,35,-34.6047969,-58.454126,Villa Crespo
270000,51,-34.577367,-58.424845,Palermo
99000,33,-34.5685575,-58.4534297,Belgrano
98900,35,-34.602432,-58.395866,Barrio Norte
88549.51,42,-34.5707547,-58.5414898,Almagro
148000,67,-34.6086686,-58.3976941,Balvanera
174000,79,-34.6315375,-58.4541557,Flores
70000,35,-34.6025011,-58.4663309,Paternal
149500,44,-34.5549509,-58.4671186,Nuñez
99000,42,,,Belgrano
94000,41,-34.5881967,-58.5014288,Villa Devoto
98720.12,42,-34.6321116,-58.3703982,Barracas
83840,37,-34.6288131,-58.4722301,Villa del Parque
165000,56,-34.57304,-58.479785,Villa Urquiza
125000,72,-34.627792,-58.360443,Boca
289000,99,-34.5684201,-58.4532923,Belgrano
119000,43,-34.6051279,-58.4394663,Villa Crespo
85000,33,-34.5884433,-58.4193632,Palermo
142000,34,-34.5708216,-58.4487136,Belgrano
117000,62,-34.562803,-58.487628,Villa Urquiza
78000,32,-34.5658889,-58.4827765,Villa Urquiza
52000,31,-34.631901,-58.363538,Boca
92000,34,-34.5978398,-58.4249739,Palermo
150000,40,-34.5881852,-58.4189702,Barrio Norte
135000,35,-34.5889201,-58.4002698,Barrio Norte
115000,55,-34.54512499,-58.47870207,Belgrano
115000,44,-34.573034,-58.479323,Villa Urquiza
140000,40,-34.558509,-58.451793,Belgrano
105500,46,-34.60808733,-58.43089266,Villa Crespo
85000,54,-34.632413,-58.370082,Barracas
99000,74,-34.6072023,-58.4035194,Once
114000,45,-34.6057005,-58.3779666,Barrio Norte
79000,36,-34.6045547,-58.3802473,San Nicolás
39461.74,34,-34.60761229,-58.44015243,Parque Centenario
115000,47,-34.632656,-58.461124,Flores
112000,58,-34.6226547,-58.3953694,San Cristobal
91000,38,-34.6036844,-58.3815591,Congreso
125000,70,-34.6112232,-58.41567,Almagro
138000,44,-34.5790338,-58.438252,Palermo
150000,94,-34.62159435,-58.38890932,Constitución
157000,53,-34.585554,-58.416574,Palermo
85000,40,-34.6185065,-58.3797127,Constitución
80000,74,-34.572265,-58.494987,Villa Urquiza
127000,53,-34.5669885,-58.4579254,Belgrano
74000,40,,,
85800,39,-34.597713,-58.424199,Palermo
202616,67,-34.589548,-58.4193856,Palermo
80000,39,,,
279900,100,-34.587097,-58.412139,Barrio Norte
165700,66,-34.625307,-58.415024,Boedo
146076,52,-34.54179,-58.476815,Nuñez
82000,31,-34.633021,-58.370341,Barracas
154500,49,-34.597769,-58.42644,Villa Crespo
135000,47,-34.6206226,-58.3684327,San Telmo
170000,60,,,
95000,35,-34.5937992,-58.4128129,Palermo
95000,39,-34.603514,-58.4086976,Balvanera
90000,50,-34.6302698,-58.3743465,Barracas
240000,90,-34.6248691,-58.4627352,Flores
75000,37,,,Flores
255000,81,-34.62233989,-58.40853223,San Cristobal
82000,34,-34.6177615,-58.383662,Monserrat
127000,47,-34.5711496,-58.4232966,Palermo
340000,73,-34.5613049,-58.4601782,Belgrano
124999,68,-34.598331,-58.403728,Recoleta
138000,76,-34.6036844,-58.3815591,Balvanera
160000,78,-34.609929,-58.415977,Almagro
71900,37,-34.595955,-58.447416,Villa Crespo
115000,60,-34.6027679,-58.4568995,Paternal
89000,38,-34.600022,-58.4175858,Almagro
90000,72,-34.6539485,-58.393004,Barracas
70000,43,-34.6200663,-58.3888229,Monserrat
210000,76,-34.586033,-58.41367,Palermo
190000,47,-34.58209101,-58.41337102,Barrio Norte
140000,53,-34.598107,-58.410285,Palermo
119000,47,-34.62214059,-58.45878478,Caballito
187000,81,-34.56862647,-58.44965816,Belgrano
125000,39,-34.5500517,-58.482934,Saavedra
75000,42,-34.6100246,-58.4239755,Almagro
220000,60,-34.59810474,-58.43425519,Villa Crespo
150000,98,-34.6097193,-58.4018129,Once
146000,46,-34.597769,-58.42644,Villa Crespo
55000,35,-34.6186349,-58.478887,Flores
99500,42,-34.5636408,-58.4903092,Saavedra
123000,43,-34.607587,-58.4306631,Parque Centenario
112000,36,-34.5907652,-58.4172571,Palermo
195000,55,-34.5550983,-58.4618776,Belgrano
78000,40,-34.625227,-58.457758,Flores
72000,39,-34.60144,-58.426881,Almagro
182042.34,69,-34.5538467,-58.4920942,Saavedra
187000,56,-34.619895,-58.430003,Caballito
131216,42,-34.5688712,-58.4884216,Villa Urquiza
130000,85,-34.604459,-58.4067658,Abasto
79000,36,-34.624942,-58.4121112,Boedo
105000,50,-34.599565,-58.428431,Villa Crespo
108223.82,33,-34.623337,-58.3977098,San Cristobal
205000,57,-34.5681113,-58.4334831,Las Cañitas
195000,78,-34.5994246,-58.4079749,Once
80896.57,34,-34.6177615,-58.383662,Monserrat
65900,33,-34.616151,-58.50121,Monte Castro
66458,34,-34.63099,-58.4201892,Boedo
239000,100,-34.5594061,-58.4559962,Belgrano
95000,43,-34.58489,-58.419,Palermo
281170,100,-34.564511,-58.464647,Belgrano
93000,50,-34.619474,-58.370813,San Telmo
104400,45,-34.61772257,-58.3841157,San Telmo
96298.22,39,,,Caballito
130000,62,-34.6401322,-58.4780661,Floresta
95000,34,-34.5911955,-58.5080558,Villa Pueyrredón
158000,75,-34.595787,-58.43482,Villa Crespo
290000,50,-34.5696558,-58.4329632,Palermo
185000,75,-34.6390704,-58.36933493,Barracas
130000,47,-34.62566021,-58.43180088,Caballito
120000,66,-34.584685,-58.443003,Palermo
85000,35,-34.6125,-58.3833333,Monserrat
87000,35,-34.590515,-58.4139364,Palermo
88517,45,-34.6283,-58.429794,Caballito
125000,45,-34.6076685,-58.449767,Paternal
145000,53,-34.612872,-58.430264,Caballito
72000,43,-34.617073,-58.503334,Villa del Parque
152000,80,-34.5987301,-58.4352229,Villa Crespo
219235,59,-34.6223362,-58.4348699,Caballito
158000,49,-34.557199,-58.480847,Saavedra
98000,34,-34.6036844,-58.3815591,Centro / Microcentro
148000,43,-34.598681,-58.4824163,Agronomía
75000,45,-34.5961213,-58.4460326,Villa Crespo
199000,50,-34.5905992,-58.4329758,Palermo
88498,34,-34.610953,-58.417757,Almagro
99800,39,-34.5718369,-58.479947,Villa Urquiza
94000,43,,,
87000,42,-34.5933,-58.4921,Agronomía
78000,31,-34.5816538,-58.4684523,Villa Ortuzar
88500,42,-34.6031379,-58.4574031,Caballito
230000,93,-34.56254683,-58.44443458,Belgrano
87000,47,-34.579783,-58.450549,Colegiales
145000,96,-34.618893,-58.461994,Flores
119000,76,-34.6027301,-58.3969938,Balvanera
169000,70,-34.58680374,-58.41493734,Palermo
67500,36,-34.6105529,-58.4117165,Almagro
91781.43,32,-34.6214652,-58.4045115,San Cristobal
80000,45,-34.5818853,-58.495122,Villa Pueyrredón
75000,40,-34.6123648,-58.4245924,Almagro
81000,42,-34.60801,-58.414779,Almagro
105000,33,-34.5582269,-58.4583569,Belgrano
